No.,Package,obs repository,obs commit id,obs standard_riscv64 status,obs advanced_riscv64 status,gitee master,gitee openEuler-22.03-LTS,gitee openEuler-22.03-LTS-Next,Lastest Update,Upgrade Priority,has rpm history in standard_riscv64,rpm version in standard_riscv64,has rpm history in advanced_riscv64,rpm version in advanced_riscv64
19,OpenEXR,git@gitee.com:src-openeuler/OpenEXR.git,4f759a0b606598dff8ed8a1fc319dada892febf8,succeeded,disabled,ee40ff82dbe546190c54a78a46b66746d3694dfb,564f6853000c321a62dd29f94591b423ceb4ef23,564f6853000c321a62dd29f94591b423ceb4ef23,2,3,Yes,OpenEXR-2.2.0-19.oe1.src.rpm,No,None
20,OpenIPMI,git@gitee.com:src-openeuler/OpenIPMI.git,be05506c62bce4333c1bc5d8881400ca86563186,succeeded,disabled,be05506c62bce4333c1bc5d8881400ca86563186,be05506c62bce4333c1bc5d8881400ca86563186,be05506c62bce4333c1bc5d8881400ca86563186,0,1,Yes,OpenIPMI-2.0.31-1.oe1.src.rpm,No,None
21,PEGTL,git@gitee.com:src-openeuler/PEGTL.git,6963028712871d342bfdde60bac18f4137af51b6,succeeded,disabled,c0d9fef5e759f712c0d18afa84e900529f772a67,b19930cd9c3ccf184b4ed19eee221e089f3e5710,b19930cd9c3ccf184b4ed19eee221e089f3e5710,1,3,Yes,PEGTL-2.8.0-2.oe1.src.rpm,No,None
22,PackageKit,git@gitee.com:src-openeuler/PackageKit.git,24b809cdbe79a07b914a309a9f3001de3e0d99e9,succeeded,disabled,e81bfb86f024b58782b64a490f4ab126fb7153ac,6441460bb636f3ca4ef1cac7a4d1bcaec672c81a,6441460bb636f3ca4ef1cac7a4d1bcaec672c81a,2,3,Yes,PackageKit-1.1.12-9.oe1.src.rpm,No,None
23,PyPAM,git@gitee.com:src-openeuler/PyPAM.git,2c0eb39756730c302eda0b7c06b95cf458887758,scheduled,disabled,2c0eb39756730c302eda0b7c06b95cf458887758,2c0eb39756730c302eda0b7c06b95cf458887758,2c0eb39756730c302eda0b7c06b95cf458887758,0,1,Yes,PyPAM-0.5.0-2.oe1.src.rpm,No,None
24,PyQt4,git@gitee.com:src-openeuler/PyQt4.git,d4a3941198830a35823a4aacca0f8eae868e34ae,succeeded,disabled,d4a3941198830a35823a4aacca0f8eae868e34ae,d4a3941198830a35823a4aacca0f8eae868e34ae,d4a3941198830a35823a4aacca0f8eae868e34ae,0,1,Yes,PyQt4-4.12.1-14.oe1.src.rpm,No,None
25,PyYAML,git@gitee.com:src-openeuler/PyYAML.git,acdc262478360c9e3f81222974e75c876850ba5d,scheduled,disabled,2be709c8d62d432c02f8b05c0855093aec15ce55,35718969d92170cb1765a5760fcb81bd6262b957,35718969d92170cb1765a5760fcb81bd6262b957,2,3,Yes,pyyaml-5.3.1-4.oe1.src.rpm,No,None
26,SDL,git@gitee.com:src-openeuler/SDL.git,9ed5560c1e5bdcfcdfd422010aa52e2c20740f3b,building,disabled,bb88415299a2dbe8e0266d356670e685b1f835b7,8530a0b2a5f81298b22fa0f70615989f8c0c5427,8530a0b2a5f81298b22fa0f70615989f8c0c5427,1,3,Yes,SDL-1.2.15-37.oe1.src.rpm,No,None
27,SDL2,git@gitee.com:src-openeuler/SDL2.git,c91187128a3945ac2b95ed3b230247c8102fac5c,blocked,disabled,c91187128a3945ac2b95ed3b230247c8102fac5c,a37fb323bf25d40bdb7c42146882d11048a29dda,a37fb323bf25d40bdb7c42146882d11048a29dda,2,2,Yes,SDL2-2.0.12-1.oe1.src.rpm,No,None
28,SDL_sound,git@gitee.com:src-openeuler/SDL_sound.git,86c41e5602111bc65168e19a115d2339f4e08db4,succeeded,disabled,86c41e5602111bc65168e19a115d2339f4e08db4,86c41e5602111bc65168e19a115d2339f4e08db4,86c41e5602111bc65168e19a115d2339f4e08db4,0,1,Yes,SDL_sound-1.0.3-23.oe1.src.rpm,No,None
29,SuperLU,git@gitee.com:src-openeuler/SuperLU.git,81a3f38b0b615e25f622c05ae19ab7a33a67df87,succeeded,disabled,1379512416eb8a2cea1c96978210e40dd055b844,1379512416eb8a2cea1c96978210e40dd055b844,1379512416eb8a2cea1c96978210e40dd055b844,1,2,Yes,SuperLU-5.2.1-6.oe1.src.rpm,No,None
30,TeXamator,git@gitee.com:src-openeuler/TeXamator.git,0335fabb6b4baebb3b78d17758e6547730e1fb7e,succeeded,disabled,0335fabb6b4baebb3b78d17758e6547730e1fb7e,0335fabb6b4baebb3b78d17758e6547730e1fb7e,0335fabb6b4baebb3b78d17758e6547730e1fb7e,0,1,Yes,TeXamator-1.7.5-11.oe1.src.rpm,No,None
31,Xaw3d,git@gitee.com:src-openeuler/Xaw3d.git,625d9ebd112e92a1e231949ac070c93103eff33d,scheduled,disabled,625d9ebd112e92a1e231949ac070c93103eff33d,625d9ebd112e92a1e231949ac070c93103eff33d,625d9ebd112e92a1e231949ac070c93103eff33d,0,1,Yes,Xaw3d-1.6.3-1.oe1.src.rpm,No,None
32,XmlSchema,git@gitee.com:src-openeuler/XmlSchema.git,21249907a66883fb7668009849ebd80a1bd13248,unresolvable,disabled,21249907a66883fb7668009849ebd80a1bd13248,21249907a66883fb7668009849ebd80a1bd13248,21249907a66883fb7668009849ebd80a1bd13248,0,1,No,None,No,None
33,aalib,git@gitee.com:src-openeuler/aalib.git,bbdcbf3661db143bfe51067d2bb78d044cdef8ed,scheduled,disabled,bbdcbf3661db143bfe51067d2bb78d044cdef8ed,bbdcbf3661db143bfe51067d2bb78d044cdef8ed,bbdcbf3661db143bfe51067d2bb78d044cdef8ed,0,1,Yes,aalib-1.4.0-2.oe1.src.rpm,No,None
34,aalto-xml,git@gitee.com:src-openeuler/aalto-xml.git,927c5e23a46df2b0c59314d1028ed5f33bc7a17e,unresolvable,disabled,927c5e23a46df2b0c59314d1028ed5f33bc7a17e,927c5e23a46df2b0c59314d1028ed5f33bc7a17e,927c5e23a46df2b0c59314d1028ed5f33bc7a17e,0,1,No,None,No,None
35,abattis-cantarell-fonts,git@gitee.com:src-openeuler/abattis-cantarell-fonts.git,c85eb7670f0bc14a2ab9bb2099386e4307e79404,succeeded,disabled,c85eb7670f0bc14a2ab9bb2099386e4307e79404,c85eb7670f0bc14a2ab9bb2099386e4307e79404,c85eb7670f0bc14a2ab9bb2099386e4307e79404,0,1,Yes,abattis-cantarell-fonts-0.301-1.oe1.src.rpm,No,None
36,abi-dumper,git@gitee.com:src-openeuler/abi-dumper.git,f389bbfd46d1d812bb550d70c77803f05d689320,scheduled,disabled,9d12a384ec747eaac6acb161a1571bafe9d41978,70f33c82b4d3087de45d800427deca67e0274966,448185291409ec95e549bd5d936d8501e5ca94fb,2,4,Yes,abi-dumper-1.1-1.oe1.src.rpm,No,None
37,abrt,git@gitee.com:src-openeuler/abrt.git,1bc788c35f2c9010ffb09ef4af59508336befb02,succeeded,disabled,1bc788c35f2c9010ffb09ef4af59508336befb02,2ed7935aec229a7f55efb77defb86eee59716aa7,2ed7935aec229a7f55efb77defb86eee59716aa7,2,2,Yes,abrt-2.14.2-4.oe1.src.rpm,No,None
38,accountsservice,git@gitee.com:src-openeuler/accountsservice.git,3ecf97bd91d9611416037df84abacfb882a7375e,succeeded,disabled,3ecf97bd91d9611416037df84abacfb882a7375e,3ecf97bd91d9611416037df84abacfb882a7375e,3ecf97bd91d9611416037df84abacfb882a7375e,0,1,Yes,accountsservice-0.6.55-1.oe1.src.rpm,No,None
39,acl,git@gitee.com:src-openeuler/acl.git,9f8f6eecba75178d2df5e49c4806989499ea626e,building,disabled,d17a1f95663c4d0c65a0d9974ea7a29cb774097e,d17a1f95663c4d0c65a0d9974ea7a29cb774097e,d17a1f95663c4d0c65a0d9974ea7a29cb774097e,1,2,Yes,acl-2.2.53-7.oe1.src.rpm,No,None
40,acpica-tools,git@gitee.com:src-openeuler/acpica-tools.git,4b7f506a6cda231520a2def5025494515e99bc7b,succeeded,disabled,5805d063a7d7f24faa535fb13d85aadf1dd19fc2,9de2d91e232fba81b519082407014b8d663dd7a6,9de2d91e232fba81b519082407014b8d663dd7a6,2,3,Yes,acpica-tools-20210105-1.oe1.src.rpm,No,None
41,acpid,git@gitee.com:openeuler-risc-v/acpid.git,aca30936e319c5fb036e8cdab579d628b84f0314,scheduled,disabled,2becaa8a7c712eeeef52b4a6c2c11e72873181ff,2e1e881845f4beb18131605e7b52de6c9670a748,2e1e881845f4beb18131605e7b52de6c9670a748,2,3,Yes,acpid-2.0.33-1.oe1.src.rpm,No,None
42,adcli,git@gitee.com:src-openeuler/adcli.git,aaedd79ad940cc24b489ba932f5b5c1e4f947ef1,scheduled,disabled,be2234e3488885618e5cb8cc3ac9fa652fb8b4c1,75f64011bf467a38087bdfc0736eb711151ff58d,75f64011bf467a38087bdfc0736eb711151ff58d,1,3,Yes,adcli-0.9.0-1.oe1.src.rpm,No,None
43,adobe-mappings-cmap,git@gitee.com:src-openeuler/adobe-mappings-cmap.git,2328af1cabf127227b37625aa1dfdcc5d1dcdc4c,succeeded,disabled,2328af1cabf127227b37625aa1dfdcc5d1dcdc4c,2328af1cabf127227b37625aa1dfdcc5d1dcdc4c,2328af1cabf127227b37625aa1dfdcc5d1dcdc4c,0,1,Yes,adobe-mappings-cmap-20190730-3.oe1.src.rpm,No,None
44,adobe-mappings-pdf,git@gitee.com:src-openeuler/adobe-mappings-pdf.git,8d2d4c3783bb7834f168127cb575e179d007bee7,succeeded,disabled,8d2d4c3783bb7834f168127cb575e179d007bee7,8d2d4c3783bb7834f168127cb575e179d007bee7,8d2d4c3783bb7834f168127cb575e179d007bee7,0,1,Yes,adobe-mappings-pdf-20190401-2.oe1.src.rpm,No,None
45,adwaita-icon-theme,git@gitee.com:src-openeuler/adwaita-icon-theme.git,46914239c733d2cde144e966de8ba63564cf2822,blocked,disabled,e5b570a7b09630ae02a326911cd95eccecddc68f,b3097ccd40b5260a987991658807d59f6f1f0f1b,b3097ccd40b5260a987991658807d59f6f1f0f1b,2,3,Yes,adwaita-icon-theme-3.38.0-1.oe1.src.rpm,No,None
46,adwaita-qt,git@gitee.com:src-openeuler/adwaita-qt.git,1198374b02e17576b76d0ca161c0cc0f7ed16995,scheduled,disabled,1198374b02e17576b76d0ca161c0cc0f7ed16995,1198374b02e17576b76d0ca161c0cc0f7ed16995,1198374b02e17576b76d0ca161c0cc0f7ed16995,0,1,Yes,adwaita-qt-1.1.0-6.oe1.src.rpm,No,None
47,aesh,git@gitee.com:src-openeuler/aesh.git,076ec1b427ab6da5c073416de03dc8cddac51626,unresolvable,disabled,076ec1b427ab6da5c073416de03dc8cddac51626,076ec1b427ab6da5c073416de03dc8cddac51626,076ec1b427ab6da5c073416de03dc8cddac51626,0,1,No,None,No,None
48,afflib,git@gitee.com:src-openeuler/afflib.git,33c960b9c81c73c29b0815932f6093875faf1f41,scheduled,disabled,33c960b9c81c73c29b0815932f6093875faf1f41,70f3a892b4afa73ff59e9846a451d674407e50e4,70f3a892b4afa73ff59e9846a451d674407e50e4,2,2,Yes,afflib-3.7.18-5.oe1.src.rpm,No,None
49,aide,git@gitee.com:src-openeuler/aide.git,d419ba329a6bbfdb8b6a725bdd723b54f510d9a9,scheduled,disabled,e298ed2559f08f67fc5046629851cf0d927fedf5,d0124faeab87df72fac4d4df56f9c30bec05de14,d24d615ce488a8ada94bf4db254090a3e534b727,2,4,Yes,aide-0.16.2-1.oe1.src.rpm,No,None
50,airline,git@gitee.com:src-openeuler/airline.git,5b614e817a190bb87d186e1dea5ef0e232f69015,unresolvable,disabled,5b614e817a190bb87d186e1dea5ef0e232f69015,5b614e817a190bb87d186e1dea5ef0e232f69015,5b614e817a190bb87d186e1dea5ef0e232f69015,0,1,No,None,No,None
51,alsa-firmware,git@gitee.com:src-openeuler/alsa-firmware.git,b965b592fee245ee37e6e6380ae7e244f4495fb5,succeeded,disabled,504667ba9866ef26271db953e336f55d79734746,8782b317353402a78395706f3c93828d5f4425e1,8782b317353402a78395706f3c93828d5f4425e1,2,3,Yes,alsa-firmware-1.2.4-1.oe1.src.rpm,No,None
52,alsa-lib,git@gitee.com:src-openeuler/alsa-lib.git,40af11e25b2e57f7cb31ec7fa3890be950834c17,blocked,disabled,820b719d1101d9527b56d651f8ef319431eff48f,1c13c64597a1ab585bcb14bc1146d0c6ce41ee0d,1c13c64597a1ab585bcb14bc1146d0c6ce41ee0d,2,3,Yes,alsa-lib-1.2.4-1.oe1.src.rpm,No,None
53,alsa-plugins,git@gitee.com:src-openeuler/alsa-plugins.git,33da58f2e2029b4cd27352a5fb5c98f113a93121,scheduled,disabled,33da58f2e2029b4cd27352a5fb5c98f113a93121,33da58f2e2029b4cd27352a5fb5c98f113a93121,33da58f2e2029b4cd27352a5fb5c98f113a93121,0,1,Yes,alsa-plugins-1.1.6-5.oe1.src.rpm,No,None
54,alsa-tools,git@gitee.com:src-openeuler/alsa-tools.git,a6ba733d9d512dedcd01af496362a8e6aa5a668d,scheduled,disabled,807b460e0e8cb76bb19d520f894bcfead5b739db,c0b0b7c4331ff31c29379afe643b4d337a017914,c0b0b7c4331ff31c29379afe643b4d337a017914,2,3,Yes,alsa-tools-1.2.2-3.oe1.src.rpm,No,None
55,alsa-utils,git@gitee.com:src-openeuler/alsa-utils.git,efd3a938b9256fd7ec331f30459b86315dc51e86,scheduled,disabled,efd3a938b9256fd7ec331f30459b86315dc51e86,efd3a938b9256fd7ec331f30459b86315dc51e86,efd3a938b9256fd7ec331f30459b86315dc51e86,0,1,Yes,alsa-utils-1.2.2-2.oe1.src.rpm,No,None
56,amanda,git@gitee.com:src-openeuler/amanda.git,e92b9865670253cb52bfa36ed77795a8e6e7ec07,scheduled,disabled,4bf5c94ca545b4feca526e37307254bdbea5150d,4bf5c94ca545b4feca526e37307254bdbea5150d,4bf5c94ca545b4feca526e37307254bdbea5150d,1,2,Yes,amanda-3.5.1-18.oe1.src.rpm,No,None
57,amtk,git@gitee.com:src-openeuler/amtk.git,b1a0c0fb39f5a54c29d52789d57f55b58857677e,succeeded,disabled,b1a0c0fb39f5a54c29d52789d57f55b58857677e,b1a0c0fb39f5a54c29d52789d57f55b58857677e,b1a0c0fb39f5a54c29d52789d57f55b58857677e,0,1,Yes,amtk-5.0.0-3.oe1.src.rpm,No,None
58,anaconda,git@gitee.com:src-openeuler/anaconda.git,245da92e2f1e225df4ab37eb097ffa76dc3d1cc9,scheduled,disabled,3bc80160b3f9dff08ee0b7f7b7307e2867db29aa,7ed5c0b2a2af93c1e676c726834c1d388c349b21,15183e7578f56e544b8cd2be48ac68e004d39e9d,3,4,Yes,anaconda-33.19-29.oe1.src.rpm,No,None
59,anaconda-user-help,git@gitee.com:src-openeuler/anaconda-user-help.git,e37091cbb181b2c866feb2f59062f0aafb28c388,succeeded,disabled,e37091cbb181b2c866feb2f59062f0aafb28c388,e37091cbb181b2c866feb2f59062f0aafb28c388,e37091cbb181b2c866feb2f59062f0aafb28c388,0,1,Yes,anaconda-user-help-26.1-9.oe1.src.rpm,No,None
60,android-json-org-java,git@gitee.com:src-openeuler/android-json-org-java.git,828bb22a3f72a18ccb36f4a055c043393c636cd0,unresolvable,disabled,828bb22a3f72a18ccb36f4a055c043393c636cd0,828bb22a3f72a18ccb36f4a055c043393c636cd0,828bb22a3f72a18ccb36f4a055c043393c636cd0,0,1,No,None,No,None
61,annobin,git@gitee.com:src-openeuler/annobin.git,7d170191429735c88006719c1a404aa14133e16a,scheduled,disabled,7d170191429735c88006719c1a404aa14133e16a,7d170191429735c88006719c1a404aa14133e16a,7d170191429735c88006719c1a404aa14133e16a,0,1,Yes,annobin-8.23-2.oe1.src.rpm,No,None
62,annotation-indexer,git@gitee.com:src-openeuler/annotation-indexer.git,f47ad93dd040292897fef140d8140690eb0443e7,unresolvable,disabled,f47ad93dd040292897fef140d8140690eb0443e7,f47ad93dd040292897fef140d8140690eb0443e7,f47ad93dd040292897fef140d8140690eb0443e7,0,1,No,None,No,None
63,ansible,git@gitee.com:src-openeuler/ansible.git,2771f99ec4877f3b39b36c6d51508732ad3e0a80,succeeded,disabled,dd7d6cbd6d956233c33b637191d9fa417d31b143,42172d7ee0d4e704aeb1bc27a80d6a39a1cec8bf,42172d7ee0d4e704aeb1bc27a80d6a39a1cec8bf,2,3,Yes,ansible-2.5.5-1.oe1.src.rpm,No,None
64,ant,git@gitee.com:src-openeuler/ant.git,e7d27bd10a9cfcb8dcf7e501fd379981f2ef81fb,unresolvable,disabled,84cda9c652ee37048b8e922337ff952d40a715d1,d9618106448cd44736a28039d00186b7ba61ef84,2c49e657065771bf763d9f06dcac1e1a6f1c641b,2,4,No,None,No,None
65,ant-antunit,git@gitee.com:src-openeuler/ant-antunit.git,d7bc42e7d7c618554cfcb638b572c94a2a0283f6,unresolvable,disabled,d7bc42e7d7c618554cfcb638b572c94a2a0283f6,d7bc42e7d7c618554cfcb638b572c94a2a0283f6,d7bc42e7d7c618554cfcb638b572c94a2a0283f6,0,1,No,None,No,None
66,ant-contrib,git@gitee.com:src-openeuler/ant-contrib.git,a5bd59735faffaab41f4bb3118c1042218a52c64,unresolvable,disabled,a5bd59735faffaab41f4bb3118c1042218a52c64,a5bd59735faffaab41f4bb3118c1042218a52c64,a5bd59735faffaab41f4bb3118c1042218a52c64,0,1,No,None,No,None
67,anthy,git@gitee.com:src-openeuler/anthy.git,faa49aa81af77752de47fd9dd1072ab057f16102,scheduled,disabled,faa49aa81af77752de47fd9dd1072ab057f16102,faa49aa81af77752de47fd9dd1072ab057f16102,faa49aa81af77752de47fd9dd1072ab057f16102,0,1,Yes,anthy-9100h-40.oe1.src.rpm,No,None
68,antlr,git@gitee.com:src-openeuler/antlr.git,667d8752b3499818ab431d570341df09a1530e5d,unresolvable,disabled,667d8752b3499818ab431d570341df09a1530e5d,667d8752b3499818ab431d570341df09a1530e5d,667d8752b3499818ab431d570341df09a1530e5d,0,1,No,None,No,None
69,antlr-maven-plugin,git@gitee.com:src-openeuler/antlr-maven-plugin.git,c5e4b3b1ae2789f57a51255ea35397c41e55b301,unresolvable,disabled,c5e4b3b1ae2789f57a51255ea35397c41e55b301,c5e4b3b1ae2789f57a51255ea35397c41e55b301,c5e4b3b1ae2789f57a51255ea35397c41e55b301,0,1,No,None,No,None
70,antlr3,git@gitee.com:src-openeuler/antlr3.git,eaf3c22e90ce358e01bdef990b92c5132a2494f9,unresolvable,disabled,eaf3c22e90ce358e01bdef990b92c5132a2494f9,eaf3c22e90ce358e01bdef990b92c5132a2494f9,eaf3c22e90ce358e01bdef990b92c5132a2494f9,0,1,No,None,No,None
71,antlr32,git@gitee.com:src-openeuler/antlr32.git,64c7f06e511185fc9b980523ac213aa0f13a02b6,unresolvable,disabled,64c7f06e511185fc9b980523ac213aa0f13a02b6,64c7f06e511185fc9b980523ac213aa0f13a02b6,64c7f06e511185fc9b980523ac213aa0f13a02b6,0,1,No,None,No,None
72,antlr4,git@gitee.com:src-openeuler/antlr4.git,680fa14fdcc26f249d073b3c7f5997e1a41e2dbc,unresolvable,disabled,680fa14fdcc26f249d073b3c7f5997e1a41e2dbc,680fa14fdcc26f249d073b3c7f5997e1a41e2dbc,680fa14fdcc26f249d073b3c7f5997e1a41e2dbc,0,1,No,None,No,None
73,aopalliance,git@gitee.com:src-openeuler/aopalliance.git,92d703dbcfd15f26b0db3cbbebc8541bc73de596,unresolvable,disabled,92d703dbcfd15f26b0db3cbbebc8541bc73de596,92d703dbcfd15f26b0db3cbbebc8541bc73de596,92d703dbcfd15f26b0db3cbbebc8541bc73de596,0,1,No,None,No,None
74,apache-commons-beanutils,git@gitee.com:src-openeuler/apache-commons-beanutils.git,269e8d2a823922f5b5fa18efc6018e484f961382,unresolvable,disabled,269e8d2a823922f5b5fa18efc6018e484f961382,269e8d2a823922f5b5fa18efc6018e484f961382,269e8d2a823922f5b5fa18efc6018e484f961382,0,1,No,None,No,None
75,apache-commons-chain,git@gitee.com:src-openeuler/apache-commons-chain.git,5a4a2a9058fc6dc451d2e2ac5806e2f1cb893d5c,unresolvable,disabled,5a4a2a9058fc6dc451d2e2ac5806e2f1cb893d5c,5a4a2a9058fc6dc451d2e2ac5806e2f1cb893d5c,5a4a2a9058fc6dc451d2e2ac5806e2f1cb893d5c,0,1,No,None,No,None
76,apache-commons-cli,git@gitee.com:src-openeuler/apache-commons-cli.git,5f7d61b8639f67d27952e96e96d891190b9ff56c,unresolvable,disabled,5f7d61b8639f67d27952e96e96d891190b9ff56c,5f7d61b8639f67d27952e96e96d891190b9ff56c,5f7d61b8639f67d27952e96e96d891190b9ff56c,0,1,No,None,No,None
77,apache-commons-codec,git@gitee.com:src-openeuler/apache-commons-codec.git,d24d545b025bceac1b27471b83d75f48c070e430,unresolvable,disabled,d24d545b025bceac1b27471b83d75f48c070e430,d24d545b025bceac1b27471b83d75f48c070e430,d24d545b025bceac1b27471b83d75f48c070e430,0,1,No,None,No,None
